Vertex_ID	X	Y	Neighbours_IDs
1	442244.0	587869.5	2 3659 3962
2	442250.5	587850.0	1 6704
3	430447.5	586686.0	4 3781 8198 2017
4	430459.0	586810.0	3 4842 10328
5	431886.0	583226.0	6 828 3143 9906
6	431949.0	583284.0	5 2692 9243
7	433867.0	584159.0	8
8	433884.0	584252.0	7 3337 5405
9	433661.0	586709.0	10 7261 3508
10	433693.5	586799.0	9 7021
11	436412.5	584939.0	12 273 6395
12	436504.0	584918.0	11 3083 992
13	441114.5	585645.0	14 10083 5501
14	441195.5	585680.0	13 364 2729
15	434371.0	588364.5	16 6617 8180 1141
16	434711.0	588303.0	15 8383 7438
17	427641.5	588677.0	18 18 5684
18	427670.0	588678.0	17 17 2391
19	440254.5	588224.0	20 3557 3469
20	440233.5	588101.0	19 3063 9150
21	434273.0	583153.5	22 11268 6751 12135
22	434258.5	583123.0	21 119 2310
23	433833.5	581696.5	24 9943 9943
24	433821.0	581603.0	23 3795 8901
25	428242.0	585367.0	26 3994 9639
26	428262.0	585353.5	25 3747 4737
27	435650.5	580875.5	28 8000 9392
28	435665.5	580884.5	27 3260 10382
29	433569.0	586020.5	30 3391 5039
30	433596.5	586153.5	29 7545 7716
31	444468.0	589648.0	32 226 7452
32	444472.0	589698.5	31 10047 9976
33	434415.5	587573.5	34
34	434693.0	587534.5	33 1955 6416 10013
35	441263.5	589015.0	36 390 9883 6388
36	441405.5	588873.0	35 7999 5312
37	443646.5	586983.0	38 666 666
38	443682.5	586982.5	37 5455 9804 12374
39	444639.5	590365.5	40 2510 11291
40	444639.5	590335.0	39 3405 5175
41	431586.5	586693.5	42 2693 5773
42	431653.0	586609.0	41 1491 4377
43	443535.5	587168.5	44 6116 8605
44	443568.0	587247.5	43 2088 8605
45	439847.5	586672.5	46 578 2491
46	439888.0	586890.5	45 3890 4440 7057
47	434225.0	581898.0	48 1516 6172
48	433989.0	581912.5	47 2396 5360
49	430269.0	585397.5	50 3077 10143
50	430218.5	585251.0	49 1844 10144
51	436289.5	585510.0	52 7575 7575
52	436348.0	585492.5	51 4919 5718
53	444141.0	589336.5	54 162 1952 4202
54	444162.0	589267.5	53 7317 7518 9260
55	432930.5	585776.5	56 3183
56	432984.0	585805.5	5323 2587 714
57	430617.0	591371.0	58 7920 4875
58	430715.0	591309.5	57 325 6629
59	427612.5	586379.0	60 6356 1443
60	427718.0	586341.0	59 5775 10758 8980
61	440480.0	584919.0	62 8832
62	440485.0	584930.5	61 4862 570
63	438153.5	588725.5	64 5068 9501
64	438110.0	588725.0	63 7358 389
65	433971.0	586436.0	66 228 5961 1920
66	433984.5	586544.5	65 8950 3759 5961
67	437593.5	583387.0	68 4962 6687
68	437594.5	583358.0	67 68 68
69	444352.5	588280.5	70 1477 8521
70	444275.5	588264.0	69 4783 8601
71	434859.5	583663.0	72 8917 7514
72	434875.5	583668.0	71 1898 8917
